RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Albert Watson,albert.watson@example.com,5151244469,07-Mar-16,Accountant,CPU,Intel Xeon E5-2690 (OEM/Tray),"Speed:2.9GHz,Cores:8",1888.33,228.39,2116.72,Charlie Pacino,"Piazza Svizzera, Milano, ",500.0,charlie.pacino@amgen.com,16728892091,Shipped,20-Dec-16,58,549.59,151
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Mohammad Peterson,mohammad.peterson@example.com,5151244569,17-Aug-16,Finance Manager,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,283.52,2064.99,Guillaume Jackson,"Via Delle Grazie 11, San Giminiano, ",700.0,guillaume.jackson@usbank.com,17289200982,Pending,16-Aug-16,49,2200.0,123
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Harper Spencer,harper.spencer@example.com,5151237777,07-Jun-16,Human Resources Representative,CPU,,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,318.86,2042.69,Daniel Costner,"1597 Legend St, Mysore, Kar",3700.0,daniel.costner@staples.com,18779099109,Shipped,02-May-15,77,309.85,124
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Louie Richardson,louie.richardson@example.com,5904234567,03-Jan-16,Programmer,CPU,Intel Xeon E5-2667 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:135W",1504.08,505.38,2009.46,Dianne Derek,"1606 Sangam Blvd, New Delhi, ",5000.0,dianne.derek@danaher.com,18717872090,Shipped,29-Sep-16,141,721.99,124
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Nathan Cox,nathan.cox@example.com,5904234568,21-May-16,Programmer,CPU,Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,495.23,1994.49,Geraldine Schneider,"2115 N Towne Ln Ne, Cedar Rapids, IA",500.0,geraldine.schneider@whirlpoolcorp.com,15612788891,Canceled,13-Dec-16,33,824.98,124
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Bobby Torres,bobby.torres@example.com,5904235567,07-Feb-16,Programmer,CPU,Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",1540.35,368.38,1908.73,Geraldine Martin,"8989 N Port Washington Rd, Milwaukee, WI",500.0,geraldine.martin@aflac.com,12334152428,Shipped,02-Dec-16,144,699.01,124
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Charles Ward,charles.ward@example.com,5904234560,05-Feb-16,Programmer,CPU,Intel Xeon E5-2470V2,"Speed:2.4GHz,Cores:10,TDP:95W",1671.95,232.75,1904.7,Guillaume Edwards,"5112 Sw 9Th St, Des Moines, IA",500.0,guillaume.edwards@autonation.com,12343435001,Shipped,27-Oct-16,149,339.99,124
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Gabriel Howard,gabriel.howard@example.com,59042345692,25-Jun-16,Programmer,CPU,Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,193.04,1899.99,Maurice Mahoney,"8600 W National Ave, Milwaukee, WI",600.0,maurice.mahoney@progressive.com,10988765561,Shipped,27-Oct-17,145,1999.89,125
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Emma Perkins,emma.perkins@example.com,5151235555,17-Feb-16,Marketing Manager,CPU,Intel Xeon E5-2637 V2 (OEM/Tray),"Speed:3.5GHz,Cores:4,TDP:130W",1323.12,526.88,1850.0,Maurice Hasan,"4715 Sprecher Rd, Madison, WI",700.0,maurice.hasan@abbott.com,17876544441,Canceled,14-Dec-16,79,899.99,121
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Amelie Hudson,amelie.hudson@example.com,6031236666,17-Aug-16,Marketing Representative,CPU,Intel Xeon E5-2683 V4 (OEM/Tray),"Speed:2.1GHz,Cores:16,TDP:120W",1369.83,475.06,1844.89,Diane Higgins,"411 E Wisconsin Ave # 2550, Milwaukee, WI",700.0,diane.higgins@dollargeneral.com,19089189918,Pending,13-Dec-16,75,620.95,121
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Gracie Gardner,gracie.gardner@example.com,5151238888,07-Jun-16,Public Relations Representative,CPU,Intel Core i7-4960X Extreme Edition,"Speed:3.6GHz,Cores:6,TDP:130W",1496.43,309.54,1805.97,Dianne Sen,"600 N Broadway Fl 1, Milwaukee, WI",700.0,dianne.sen@tenethealth.com,19098876718,Shipped,26-Apr-15,116,799.0,121
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Frederick Price,frederick.price@example.com,5151274563,24-Dec-16,Purchasing Clerk,CPU,Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",1535.62,220.38,1756.0,Maurice Daltrey,"666 22Nd Ave Ne, Minneapolis, MN",900.0,maurice.daltrey@lilly.com,15600980121,Shipped,26-Apr-17,119,680.99,137
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Alex Sanders,alex.sanders@example.com,5151274562,18-May-16,Purchasing Clerk,CPU,Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,232.14,1751.99,Tess Roth,"122 E Dayton St, Madison, WI",1200.0,tess.roth@dteenergy.com,12889745002,Shipped,09-Apr-15,148,47.88,136
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Ollie Bennett,ollie.bennett@example.com,5151274564,24-Jul-16,Purchasing Clerk,CPU,Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",1225.59,483.27,1708.86,Ka Kaufman,"2134 W Genesee St, Syracuse, NY",1200.0,ka.kaufman@southwest.com,18013324511,Shipped,15-Feb-17,111,298.98,136
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Louis Wood,louis.wood@example.com,5151274565,15-Nov-16,Purchasing Clerk,CPU,Intel Core i7-6950X (OEM/Tray),"Speed:3.0GHz,Cores:10,TDP:140W",1479.56,224.81,1704.37,Sharyl Montoya,"200 1St St Sw, Rochester, MN",1200.0,sharyl.montoya@penskeautomotive.com,18002566718,Pending,14-Feb-17,111,66.89,136
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Dexter Barnes,dexter.barnes@example.com,5151274566,10-Aug-16,Purchasing Clerk,CPU,Intel Xeon E5-2670 V3,"Speed:2.3GHz,Cores:12,TDP:120W",1453.94,223.04,1676.98,Daniel Glass,"1 Palisade Ave Fl 2, Yonkers, NY",1200.0,daniel.glass@manpowergroup.com,15677872231,Canceled,14-Feb-17,47,149.88,136
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Rory Kelly,rory.kelly@example.com,5151274561,07-Dec-16,Purchasing Manager,CPU,Intel Xeon E5-2680,"Speed:2.7GHz,Cores:8,TDP:130W",1479.95,186.66,1666.61,Rena Arnold,"137 Lark St, Albany, NY",1200.0,rena.arnold@assurant.com,17888892415,Shipped,24-Jan-17,70,282.98,136
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Isabella Cole,isabella.cole@example.com,11441344619268,15-Oct-16,Sales Manager,CPU,Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",1365.13,274.86,1639.99,Arlyne Ingram,"1614 Gitanjali Rd, Calcutta, ",1200.0,arlyne.ingram@kohlscorporation.com,15426625428,Pending,29-Nov-16,67,647.99,137
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Jessica Woods,jessica.woods@example.com,11441344429278,10-Mar-16,Sales Manager,CPU,Intel Xeon E5-2680 V3 (OEM/Tray),"Speed:2.5GHz,Cores:12,TDP:120W",1166.89,472.0,1638.89,Willie Barrera,"Po Box 2152, Buffalo, NY",5000.0,willie.barrera@starbucks.com,18990924161,Shipped,29-Nov-16,74,305.0,137
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Ella Wallace,ella.wallace@example.com,11441344467268,05-Jan-16,Sales Manager,CPU,Intel Core i7-6950X,"Speed:3.0GHz,Cores:10,TDP:140W",1052.92,446.97,1499.89,Mireya Cochran,"1622 Roja St, Chennai, Tam",300.0,mireya.cochran@paccar.com,18729201888,Pending,29-Nov-16,92,759.99,137
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Ava Sullivan,ava.sullivan@example.com,11441344429268,01-Oct-16,Sales Manager,CPU,Intel Xeon E5-2643 V3 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",1266.37,203.59,1469.96,Marlene Odom,"1617 Crackers St, Bangalore - India, Kar",5000.0,marlene.odom@cummins.com,12650900181,Shipped,28-Sep-17,139,849.99,137
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Mia West,mia.west@example.com,11441344429018,29-Jan-16,Sales Manager,CPU,Intel Xeon E5-2660 V4,"Speed:2.0GHz,Cores:14,TDP:105W",1194.03,194.86,1388.89,Jaclyn Atkinson,"1647 Suspense St, Cochin, Ker",1900.0,jaclyn.atkinson@globalp.com,16776213151,Shipped,27-Sep-17,118,287.0,178
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Evie Harrison,evie.harrison@example.com,11441344486508,23-Nov-16,Sales Representative,CPU,Intel Xeon E5-2660 V3,"Speed:2.6GHz,Cores:10,TDP:105W",1041.99,257.74,1299.73,Al Schultz,"1628 Pataudi St, New Delhi, ",500.0,al.schultz@altria.com,16763242521,Canceled,27-Sep-16,113,141.56,178
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Scarlett Gibson,scarlett.gibson@example.com,11441345429268,30-Jan-16,Sales Representative,CPU,Intel Xeon E5-2660 V3 (OEM/Tray),"Speed:2.6GHz,Cores:10",902.18,372.81,1274.99,Felicitas Riley,"Piazza Quattre Stagioni 4, Roma, ",2500.0,felicitas.riley@xerox.com,16090910189,Pending,27-Sep-17,41,573.99,183
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Ruby Mcdonald,ruby.mcdonald@example.com,11441345929268,04-Mar-16,Sales Representative,CPU,Intel Xeon E5-2650 V2,"Speed:2.6GHz,Cores:8",961.11,287.89,1249.0,Cora Calhoun,"1656 Veterans Rd, Chennai, Tam",3700.0,cora.calhoun@kimberly-clark,16782091010,Shipped,16-Aug-16,46,440.3,184
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Chloe Cruz,chloe.cruz@example.com,11441345829268,01-Aug-16,Sales Representative,CPU,Intel Xeon E5-2650 V3,"Speed:2.3GHz,Cores:10",906.63,298.35,1204.98,Trula Buckley,"Canale Grande 2, Roma,",2400.0,trula.buckley@thehartford.com,16709009101,Pending,27-May-16,98,734.99,156
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Isabelle Marshall,isabelle.marshall@example.com,11441345729268,10-Mar-16,Sales Representative,CPU,Intel Core i7-990X Extreme Edition,"Speed:3.47GHz,Cores:6",1072.79,127.2,1199.99,Sasha Wallace,"Via Di Firenze 231, Roma, ",700.0,sasha.wallace@huntsman.com,18920342512,Shipped,27-May-17,116,469.99,160
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Daisy Ortiz,daisy.ortiz@example.com,11441345629268,15-Dec-16,Sales Representative,CPU,Intel Xeon E5-2650 V4,"Speed:2.2GHz,Cores:12",945.11,154.88,1099.99,Caitlin Hill,"1971 Limelight Blvd, Samutprakarn, ",100.0,caitlin.hill@kraftheinzcompany.com,12090224166,Canceled,27-May-17,60,329.99,187
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Freya Gomez,freya.gomez@example.com,11441345529268,03-Nov-16,Sales Representative,CPU,Intel Xeon E5-2650,"Speed:2.0GHz,Cores:8",869.03,195.96,1064.99,Gino Pickett,"Via Dello Croce 93, Tellaro, ",1200.0,gino.pickett@lear.com,16233098811,Shipped,26-May-16,70,1638.89,187
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Elizabeth Dixon,elizabeth.dixon@example.com,11441644429262,04-Jan-16,Sales Representative,CPU,Intel Core i9-7900X,"Speed:3.3GHz,Cores:10",855.82,174.17,1029.99,Amira Macdonald,"1668 Chong Tao, Beijing, ",5000.0,amira.macdonald@fluor.com,17890988761,Shipped,07-Sep-16,51,282.98,188
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Florence Freeman,florence.freeman@example.com,11441346229268,19-Mar-16,Sales Representative,CPU,Intel Xeon E5-1660 V3 (OEM/Tray),"Speed:3.0GHz,Cores:8",914.52,105.47,1019.99,Mack Morse,"1616 Crackers Blvd, Bangalore - India, Kar",200.0,mack.morse@aecom.com,16009822351,Shipped,07-Sep-16,105,1469.96,154
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Alice Wells,alice.wells@example.com,11441346329268,24-Jan-16,Sales Representative,CPU,Intel Xeon E5-2650L V3 (OEM/Tray),,779.17,231.29,1010.46,Eboni Jarvis,"633 S Hawley Rd, Milwaukee, WI",400.0,eboni.jarvis@bd.com,16797654331,Shipped,24-Aug-16,53,1199.99,167
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Charlotte Webb,charlotte.webb@example.com,11441346529268,23-Feb-16,Sales Representative,CPU,Intel Core i7-5960X,"Speed:3.0GHz,Cores:8",865.59,144.2,1009.79,Gabrielle Dennis,"1135 Catherine St, Ann Arbor, MI",900.0,gabrielle.dennis@facebook.com,16737491019,Shipped,16-Aug-16,105,640.99,194
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Sienna Simpson,sienna.simpson@example.com,11441346629268,24-Mar-16,Sales Representative,CPU,Intel Core 2 Extreme QX6800,"Speed:2.93GHz,Cores:4,TDP:100W",787.72,216.26,1003.98,Classie Norris,"378 S Negley Ave, Pittsburgh, PA",1200.0,classie.norris@jabil.com,18777200919,Canceled,14-Aug-17,79,1299.99,268
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Matilda Stevens,matilda.stevens@example.com,11441346729268,21-Apr-16,Sales Representative,CPU,Intel Core i7-5960X (OEM/Tray),"Speed:3.0GHz,Cores:8,TDP:140W",879.8,98.19,977.99,Khalilah Holman,"726 Union St, Hudson, NY",1500.0,khalilah.holman@centurylink.com,16543309201,Shipped,12-Aug-17,44,829.99,176
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Evelyn Tucker,evelyn.tucker@example.com,11441343929268,11-Mar-16,Sales Representative,CPU,Intel Xeon E5-2650 V3 (OEM/Tray),"Speed:2.3GHz,Cores:10,TDP:105W",799.98,139.51,939.49,Isreal Rose,"802 North Ave, Pittsburgh, PA",2300.0,isreal.rose@supervalu.com,17890024322,Shipped,12-Aug-17,104,713.99,177
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Eva Porter,eva.porter@example.com,11441343829268,23-Mar-16,Sales Representative,CPU,Intel Xeon E5-2640 V4,"Speed:2.4GHz,Cores:10",738.71,161.28,899.99,Verena Hopper,"612 Jefferson Ave, Scranton, PA",3600.0,verena.hopper@generalmills.com,6710191725,Shipped,09-Mar-17,129,721.99,23
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Millie Hunter,millie.hunter@example.com,11441343729268,24-Jan-16,Sales Representative,CPU,Intel Xeon E5-2640 V3,"Speed:2.6GHz,Cores:8",668.24,231.75,899.99,Audie Flores,"Via Notoriosa 1949, Ventimiglia,",700.0,audie.flores@southerncompany.com,17890012534,Shipped,07-Mar-17,109,298.98,35
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Sofia Hicks,sofia.hicks@example.com,11441343629268,23-Feb-16,Sales Representative,CPU,Intel Core 2 Extreme QX9775,Speed:3.2GHz,737.68,154.32,892.0,Gertrude Cooke,"Via Dolorosa 69, Tellaro, ",3600.0,gertrude.cooke@nexteraenergy.com,15762209021,Shipped,12-Jun-16,114,620.95,35
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Lucy Crawford,lucy.crawford@example.com,11441343529268,24-Mar-16,Sales Representative,CPU,Intel Core i7-6900K,"Speed:3.2GHz,Cores:8",792.89,97.0,889.89,Princess Kane,"1648 Anamika St, Cochin, Ker",700.0,princess.kane@thermofisher.com,16370191325,Shipped,05-Sep-16,38,660.0,36
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Elsie Henry,elsie.henry@example.com,11441343329268,21-Apr-16,Sales Representative,CPU,Intel Core i7-6900K (OEM/Tray),"Speed:3.2GHz,Cores:8",620.28,207.09,827.37,Jacinta Faulkner,"1592 Silverado St, Bangalore, Kar",500.0,jacinta.faulkner@aep.com,16537019101,Canceled,05-Sep-17,61,443.72,36
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Imogen Boyd,imogen.boyd@example.com,11441644429267,11-May-16,Sales Representative,CPU,AMD Opteron 6378,"Speed:2.4GHz,Cores:16",651.92,27700000.0,826.99,Lashon Wall,"Via Delle Capeletti 52, San Giminiano, ",1200.0,lashon.wall@pge.com,12763810917,Canceled,19-Feb-17,38,493890000000.0,36
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Layla Mason,layla.mason@example.com,11441644429266,19-Mar-16,Sales Representative,CPU,Intel Core i7-3960X Extreme Edition,Speed:3.3GHz,573.41,227.33,800.74,Corliss Mcneil,"Via Dello Croce 93, Roma, ",400.0,corliss.mcneil@nglenergypartners.com,16553098101,Shipped,31-May-15,70,41.99,36
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Rosie Morales,rosie.morales@example.com,11441644429265,24-Mar-16,Sales Representative,CPU,Intel Core i7-4770K,"Speed:3.5GHz,Cores:4",714.15,84.85,799.0,Brock Webb,"1598 Legend St, Bangalore, Kar",2300.0,brock.webb@bms.com,13445109171,Canceled,22-Oct-16,68,635.99,36
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Maya Kennedy,maya.kennedy@example.com,11441644429264,23-Apr-16,Sales Representative,CPU,Intel Xeon E5-2687W,"Speed:3.1GHz,Cores:8",581.16,129.83,710.99,Melany Mcmahon,"Pfannenstilstr 13, Egg, ZH",5000.0,melany.mcmahon@goodyear.com,12634537197,Canceled,11-May-17,83,337.81,37
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Esme Warren,esme.warren@example.com,11441644429263,24-May-16,Sales Representative,CPU,Intel Xeon E5-2680 V2,"Speed:2.8GHz,Cores:10",567.81,134.14,701.95,Rogelio Kirby,"1617 Crackers St, Bangalore - India, Kar",900.0,rogelio.kirby@nucor.com,12314100909,Shipped,03-May-15,93,150.99,37
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Grace Ellis,grace.ellis@example.com,11441344987668,09-Dec-16,Sales Representative,CPU,Intel Core i7-980,"Speed:3.33GHz,Cores:6",563.7,136.29,699.99,Wallace Dillard,"1790 Grand Blvd, Schenectady, NY",1200.0,wallace.dillard@pnc.com,17889200191,Shipped,20-Feb-17,141,873.98,37
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Lily Fisher,lily.fisher@example.com,11441344498718,30-Mar-16,Sales Representative,CPU,Intel Core i7-7820X,"Speed:3.6GHz,Cores:8",511.1,167.65,678.75,Gia Boyle,"7 Ingelside Ln, White Plains, NY",1200.0,gia.boyle@healthnet.com,14252719181,Shipped,20-Feb-17,133,798.26,38
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Sophia Reynolds,sophia.reynolds@example.com,11441344478968,20-Aug-16,Sales Representative,CPU,Intel Core i7-3930K,"Speed:3.2GHz,Cores:6",509.32,150.68,660.0,Tennie Gay,"18 Glenridge Rd, Schenectady, NY",1200.0,tennie.gay@micron.com,14527282922,Shipped,10-Oct-16,45,686.99,41
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Sophie Owens,sophie.owens@example.com,11441344345268,24-Mar-16,Sales Representative,CPU,Intel Xeon E5-2630 V4,"Speed:2.2GHz,Cores:10",528.95,119.04,647.99,Ophelia Hurst,"6432 Rising Sun Ave, Philadelphia, PA",1200.0,ophelia.hurst@colgatepalmolive.com,12537761626,Shipped,10-Oct-16,150,1314.99,3
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Poppy Jordan,poppy.jordan@example.com,11441344129268,30-Jan-16,Sales Representative,CPU,Intel Xeon E5-2630 V3,"Speed:2.4GHz,Cores:8",499.96,130.03,629.99,Ciara Flowers,"Rr 10, Reading, PA",1200.0,ciara.flowers@fcx.com,19882019251,Canceled,02-Oct-16,90,660.0,3
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Phoebe Murray,phoebe.murray@example.com,11441346129268,11-Nov-16,Sales Representative,CPU,Intel Core i7-4930K,"Speed:2.4GHz,Cores:8",527.69,96.35,624.04,Birgit Stephenson,"2455 Rose Garden Rd, Pittsburgh, PA",1200.0,birgit.stephenson@conagrafoods.com,14251600910,Shipped,02-Oct-16,116,1449.98,3
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Holly Shaw,holly.shaw@example.com,6505091876,27-Jan-16,Shipping Clerk,CPU,Intel Core i7-4790K,"Speed:3.4GHz,Cores:6",461.92,159.03,620.95,Shameka Spencer,"1812 Timberline Rd, Altoona, PA",1200.0,shameka.spencer@sempra.com,19287710828,Canceled,02-Oct-16,106,419.99,4
North  America,United States of America,California,South San Francisco,99236,2011 Interiors Blvd,San Francisco,Emilia Holmes,emilia.holmes@example.com,6505092876,20-Feb-16,Shipping Clerk,CPU,Intel Xeon E5-2640 V2,"Speed:2.0GHz,Cores:8",545.19,63.76,608.95,Alysa Kane,"141 Schiller St, Reading, PA",1200.0,alysa.kane@gapinc.com,12550190191,Pending,02-Oct-16,80,47.88,4
